srno,planet,desc
10401,"Alpha Centauri A","Alpha Centauri A, also known as Rigil Kentaurus, is the principal member, or primary, of the binary system. It is a solar-like main-sequence star with a similar yellowish colour, whose stellar classification is spectral type G2-V; it is about 10% more massive than the Sun, with a radius about 22% larger. When considered among the individual brightest stars in the night sky, it is the fourth-brightest at an apparent magnitude of +0.01, being slightly fainter than Arcturus at an apparent magnitude of −0.05."
10402,"Alpha Centauri B","Alpha Centauri B, also known as Toliman, is the secondary star of the binary system. It is a main-sequence star of spectral type K1-V, making it more an orange colour than Alpha Centauri A; it has around 90% of the mass of the Sun and a 14% smaller diameter. Although it has a lower luminosity than A, Alpha Centauri B emits more energy in the X-ray band. Its light curve varies on a short time scale, and there has been at least one observed flare. It is more magnetically active than Alpha Centauri A, showing a cycle of 8.2±0.2 yr compared to 11 years for the Sun, and has about half the minimum-to-peak variation in coronal luminosity of the Sun"
10403,"Alpha Centauri C (Proxima Centauri)","Alpha Centauri C, better known as Proxima Centauri, is a small main-sequence red dwarf of spectral class M6-Ve. It has an absolute magnitude of +15.60, over 20,000 times fainter than the Sun. Its mass is calculated to be 0.1221 M☉. It is the closest star to the Sun but is too faint to be visible to the naked eye."
10404,"Candidate 1","Candidate 1 (also known as C1 or Alpha Centauri Ab) is an unconfirmed exoplanet candidate directly imaged around Alpha Centauri A in February 2021. If confirmed as an exoplanet, it would orbit at approximately 1.1 AU away from Alpha Centauri A with a period of about a year and would have a mass between that of Neptune and one-half that of Saturn and would therefore likely be a gas giant. Despite being a gas giant, due to its position in its orbit with Alpha Centauri A, it could have habitable moon(s) in its own orbit. The planet candidate is yet to be confirmed as an exoplanetary signal; additional observations are needed to confirm its true nature."
10405,"Proxima Centauri b","Proxima Centauri b is a terrestrial planet discovered in 2016 by astronomers at the European Southern Observatory (ESO). It has an estimated minimum mass of 1.17 M🜨 (Earth masses) and orbits approximately 0.049 AU from Proxima Centauri, placing it in the star's habitable zone."
